date,iso_code,monthly_new_cases,monthly_total_cases
2022-12-01,CUW,8,37
2023-01-01,CUW,292,329
2023-02-01,CUW,489,818
2023-03-01,CUW,55,873
2019-12-01,CUW,34,907
2020-01-01,CUW,1022,1929
2020-02-01,CUW,2122,4051
2020-03-01,CUW,516,4567
2020-04-01,CUW,138,4705
2020-05-01,CUW,3699,8404
2020-06-01,CUW,3742,12146
2020-07-01,CUW,125,12271
2020-08-01,CUW,71,12342
2020-09-01,CUW,1105,13447
2020-10-01,CUW,1639,15086
2020-11-01,CUW,1379,16465
2020-12-01,CUW,582,17047
2021-01-01,CUW,379,17426
2021-02-01,CUW,2773,20199
2021-03-01,CUW,16395,36594
2021-04-01,CUW,2234,38828
2021-05-01,CUW,1518,40346
2021-06-01,CUW,1689,42035
2021-07-01,CUW,1587,43622
2021-08-01,CUW,923,44545
2021-09-01,CUW,518,45063
2021-10-01,CUW,239,45302
2021-11-01,CUW,66,45368
2021-12-01,CUW,99,45467
2022-01-01,CUW,519,45986
2022-02-01,CUW,0,45986
2022-03-01,CUW,0,45986
2022-04-01,CUW,0,45986
2022-05-01,CUW,0,45986
2022-05-01,CYP,320,320
2022-06-01,CYP,523,843
2022-07-01,CYP,115,958
2022-08-01,CYP,41,999
2022-09-01,CYP,81,1080
2022-10-01,CYP,415,1495
2022-11-01,CYP,260,1755
2022-12-01,CYP,2062,3817
2023-01-01,CYP,7358,11175
2023-02-01,CYP,11171,22346
2023-03-01,CYP,1556,23902
2019-12-01,CYP,1194,25096
2020-01-01,CYP,6411,31507
2020-02-01,CYP,4177,35684
2020-03-01,CYP,13563,49247
2020-04-01,CYP,18740,67987
2020-05-01,CYP,5993,73980
2020-06-01,CYP,6336,80316
2020-07-01,CYP,24122,104438
2020-08-01,CYP,12553,116991
2020-09-01,CYP,3624,120615
2020-10-01,CYP,4109,124724
2020-11-01,CYP,13433,138157
2020-12-01,CYP,45021,183178
2021-01-01,CYP,94686,277864
2021-02-01,CYP,60653,338517
2021-03-01,CYP,108644,447161
2021-04-01,CYP,33059,480220
2021-05-01,CYP,11557,491777
2021-06-01,CYP,23819,515596
2021-07-01,CYP,47315,562911
2021-08-01,CYP,15119,578030
2021-09-01,CYP,9964,587994
2021-10-01,CYP,14668,602662
2021-11-01,CYP,15586,618248
2021-12-01,CYP,12863,631111
2022-01-01,CYP,13049,644160
2022-02-01,CYP,6525,650685
2022-02-01,CZE,5,5
2022-03-01,CZE,3303,3308
2022-04-01,CZE,4196,7504
2022-05-01,CZE,1860,9364
2022-06-01,CZE,2590,11954
2022-07-01,CZE,5332,17286
2022-08-01,CZE,7831,25117
2022-09-01,CZE,42726,67843
2022-10-01,CZE,295142,362985
2022-11-01,CZE,165489,528474
2022-12-01,CZE,156728,685202
2023-01-01,CZE,309312,994514
2023-02-01,CZE,257728,1252242
2023-03-01,CZE,46760,1299002
2019-12-01,CZE,22329,1321331
2020-01-01,CZE,232779,1551896
2020-02-01,CZE,82218,1634114
2020-03-01,CZE,29403,1663517
2020-04-01,CZE,4418,1667935
2020-05-01,CZE,6971,1674906
2020-06-01,CZE,5653,1680559
2020-07-01,CZE,13231,1693790
2020-08-01,CZE,123467,1816161
2020-09-01,CZE,424560,2240721
2020-10-01,CZE,241111,2481832
2020-11-01,CZE,892848,3374680
2020-12-01,CZE,464984,3839664
2021-01-01,CZE,276074,4115738
2021-02-01,CZE,62440,4175310
2021-03-01,CZE,11184,4185677
2021-04-01,CZE,18105,4203782
2021-05-01,CZE,86101,4289883
2021-06-01,CZE,66179,4356062
2021-07-01,CZE,89611,4445673
2021-08-01,CZE,81159,4519947
2021-09-01,CZE,41276,4561223
2021-10-01,CZE,21712,4582935
2021-11-01,CZE,8565,4591500
2021-12-01,CZE,22382,4613882
2021-12-01,COD,1,1
2022-01-01,COD,253,254
2022-02-01,COD,915,1169
2022-03-01,COD,3221,4390
2022-04-01,COD,3042,7432
2022-05-01,COD,2106,9538
2022-06-01,COD,786,10324
2022-07-01,COD,611,10935
2022-08-01,COD,721,11656
2022-09-01,COD,2187,13843
2022-10-01,COD,6160,20003
2022-11-01,COD,3887,23890
2022-12-01,COD,2848,26738
2023-01-01,COD,1976,28714
2023-02-01,COD,1715,30429
2023-03-01,COD,117,30546
2019-12-01,COD,63,30609
2020-01-01,COD,5059,35668
2020-02-01,COD,8664,44332
2020-03-01,COD,9014,53346
2020-04-01,COD,2869,56215
2020-05-01,COD,1123,57338
2020-06-01,COD,465,57803
2020-07-01,COD,2048,59851
2020-08-01,COD,23133,82984
2020-09-01,COD,2809,85793
2020-10-01,COD,551,86344
2020-11-01,COD,679,87023
2020-12-01,COD,610,87633
2021-01-01,COD,2928,90561
2021-02-01,COD,1176,91737
2021-03-01,COD,720,92457
2021-04-01,COD,294,92751
2021-05-01,COD,221,92972
2021-06-01,COD,495,93467
2021-07-01,COD,1247,94714
2021-08-01,COD,631,95345
2021-09-01,COD,301,95646
2021-10-01,COD,103,95749
2021-10-01,DNK,,
2021-11-01,DNK,914,914
2021-12-01,DNK,5404,6318
2022-01-01,DNK,4650,10968
2022-02-01,DNK,1249,12217
2022-03-01,DNK,820,13037
2022-04-01,DNK,1778,14815
2022-05-01,DNK,5422,20237
2022-06-01,DNK,12574,32811
2022-07-01,DNK,30520,63331
2022-08-01,DNK,49764,113095
2022-09-01,DNK,69630,182725
2022-10-01,DNK,22074,204799
2022-11-01,DNK,16272,221071
2022-12-01,DNK,19236,238306
2023-01-01,DNK,29033,267339
2023-02-01,DNK,22772,290111
2023-03-01,DNK,906,291017
2019-12-01,DNK,446,291463
2020-01-01,DNK,13996,305459
2020-02-01,DNK,24468,329927
2020-03-01,DNK,24466,354393
2020-04-01,DNK,13667,368060
2020-05-01,DNK,78616,446676
2020-06-01,DNK,162386,609062
2020-07-01,DNK,495975,1105037
2020-08-01,DNK,1447324,2552361
2020-09-01,DNK,447562,2999923
2020-10-01,DNK,97092,3097015
2020-11-01,DNK,33937,3130952
2020-12-01,DNK,19647,3150599
2021-01-01,DNK,67819,3218418
2021-02-01,DNK,43801,3262219
2021-03-01,DNK,23071,3285290
2021-04-01,DNK,32327,3317617
2021-05-01,DNK,27966,3345583
2021-06-01,DNK,26208,3371791
2021-07-01,DNK,24867,3396658
2021-08-01,DNK,5460,3402118
2021-09-01,DNK,1589,3403707
2021-09-01,DJI,30,30
2021-10-01,DJI,1090,1120
2021-11-01,DJI,2659,3779
2021-12-01,DJI,903,4682
2022-01-01,DJI,566,5248
2022-02-01,DJI,139,5387
2022-03-01,DJI,29,5416
2022-04-01,DJI,128,5544
2022-05-01,DJI,136,5680
2022-06-01,DJI,133,5813
2022-07-01,DJI,122,5935
2022-08-01,DJI,154,6089
2022-09-01,DJI,1701,7790
2022-10-01,DJI,3457,11247
2022-11-01,DJI,290,11537
2022-12-01,DJI,65,11602
2023-01-01,DJI,53,11655
2023-02-01,DJI,95,11750
2023-03-01,DJI,18,11768
2019-12-01,DJI,9,11777
2020-01-01,DJI,1145,12922
2020-02-01,DJI,556,13478
2020-03-01,DJI,30,13508
2020-04-01,DJI,177,13685
2020-05-01,DJI,1825,15510
2020-06-01,DJI,40,15550
2020-07-01,DJI,40,15590
2020-08-01,DJI,41,15631
2020-09-01,DJI,44,15675
2020-10-01,DJI,15,15690
2020-11-01,DJI,0,15690
2020-12-01,DJI,0,15690
2021-01-01,DJI,0,15690
2021-02-01,DJI,0,15690
2021-03-01,DJI,0,15690
2021-04-01,DJI,0,15690
2021-05-01,DJI,0,15690
2021-06-01,DJI,0,15690
2021-06-01,DMA,1,1
2021-07-01,DMA,15,16
2021-08-01,DMA,0,16
2021-09-01,DMA,2,18
2021-10-01,DMA,0,18
2021-11-01,DMA,1,19
2021-12-01,DMA,5,24
2022-01-01,DMA,14,38
2022-02-01,DMA,34,72
2022-03-01,DMA,16,88
2022-04-01,DMA,22,110
2022-05-01,DMA,24,134
2022-06-01,DMA,22,156
2022-07-01,DMA,17,173
2022-08-01,DMA,11,184
2022-09-01,DMA,7,191
2022-10-01,DMA,18,209
2022-11-01,DMA,1130,1339
2022-12-01,DMA,1419,2758
2023-01-01,DMA,1750,4508
2023-02-01,DMA,1134,5642
2023-03-01,DMA,0,5642
2019-12-01,DMA,177,5819
2020-01-01,DMA,735,6520
2020-02-01,DMA,1901,8421
2020-03-01,DMA,2595,11016
2020-04-01,DMA,771,11787
2020-05-01,DMA,246,12033
2020-06-01,DMA,2151,14184
2020-07-01,DMA,637,14821
2020-08-01,DMA,31,14852
2020-09-01,DMA,0,14852
2020-10-01,DMA,0,14852
2020-11-01,DMA,908,15760
2020-12-01,DMA,0,15760
2021-01-01,DMA,0,15760
2021-02-01,DMA,0,15760
2021-03-01,DMA,0,15760
2021-04-01,DMA,0,15760
2021-04-01,DOM,72,72
2021-05-01,DOM,5677,5749
2021-06-01,DOM,8240,13989
2021-07-01,DOM,11079,25068
2021-08-01,DOM,34009,59077
2021-09-01,DOM,30790,89867
2021-10-01,DOM,20730,110597
2021-11-01,DOM,12276,122873
2021-12-01,DOM,13911,136784
2022-01-01,DOM,28251,165035
2022-02-01,DOM,36110,201145
2022-03-01,DOM,32453,233598
2022-04-01,DOM,14904,248502
2022-05-01,DOM,14968,263470
2022-06-01,DOM,18160,281630
2022-07-01,DOM,39443,321073
2022-08-01,DOM,18229,339302
2022-09-01,DOM,8068,347370
2022-10-01,DOM,9324,356694
2022-11-01,DOM,18028,374722
2022-12-01,DOM,26124,400846
2023-01-01,DOM,12345,413191
2023-02-01,DOM,117807,530998
2023-03-01,DOM,11058,542056
2019-12-01,DOM,5035,547091
2020-01-01,DOM,25505,572596
2020-02-01,DOM,4880,577476
2020-03-01,DOM,1772,579248
2020-04-01,DOM,2621,581869
2020-05-01,DOM,23915,605784
2020-06-01,DOM,20827,626611
2020-07-01,DOM,9805,636416
2020-08-01,DOM,7940,644356
2020-09-01,DOM,2849,647205
2020-10-01,DOM,1251,648456
2020-11-01,DOM,7084,655540
2020-12-01,DOM,4441,659981
2021-01-01,DOM,724,660705
2021-02-01,DOM,,660705
2021-02-01,ECU,1173,1173
2021-03-01,ECU,9677,10850
2021-04-01,ECU,27117,34854
2021-05-01,ECU,16789,51643
2021-06-01,ECU,25614,77257
2021-07-01,ECU,27218,104475
2021-08-01,ECU,33370,129892
2021-09-01,ECU,25733,155625
2021-10-01,ECU,31605,187230
2021-11-01,ECU,19854,207084
2021-12-01,ECU,27231,234315
2022-01-01,ECU,44464,278779
2022-02-01,ECU,38028,316807
2022-03-01,ECU,46036,362843
2022-04-01,ECU,50064,412907
2022-05-01,ECU,36200,449107
2022-06-01,ECU,29508,478615
2022-07-01,ECU,21016,499631
2022-08-01,ECU,7957,507588
2022-09-01,ECU,6499,514087
2022-10-01,ECU,11718,525398
2022-11-01,ECU,13639,539037
2022-12-01,ECU,110520,649557
2023-01-01,ECU,170984,820541
2023-02-01,ECU,33711,854252
2023-03-01,ECU,3047,857299
2019-12-01,ECU,0,857299
2020-01-01,ECU,10986,868285
2020-02-01,ECU,6434,874719
2020-03-01,ECU,27020,901739
2020-04-01,ECU,53844,955583
2020-05-01,ECU,39564,995147
2020-06-01,ECU,6910,1002057
2020-07-01,ECU,5496,1007553
2020-08-01,ECU,3579,1011132
2020-09-01,ECU,20317,1031449
2020-10-01,ECU,16175,1047624
2020-11-01,ECU,8954,1056578
2020-12-01,ECU,543,1057121
2020-12-01,EGY,15,15
2021-01-01,EGY,1924,1939
2021-02-01,EGY,7025,8964
2021-03-01,EGY,23648,32612
2021-04-01,EGY,41423,74035
2021-05-01,EGY,21279,95314
2021-06-01,EGY,4398,99712
2021-07-01,EGY,3863,103575
2021-08-01,EGY,5387,108962
2021-09-01,EGY,9052,118014
2021-10-01,EGY,30785,148799
2021-11-01,EGY,20307,169106
2021-12-01,EGY,16816,185922
2022-01-01,EGY,23755,209677
2022-02-01,EGY,26595,236272
2022-03-01,EGY,30899,267171
2022-04-01,EGY,14732,281903
2022-05-01,EGY,2738,284641
2022-06-01,EGY,5043,289684
2022-07-01,EGY,21892,311576
2022-08-01,EGY,25006,336582
2022-09-01,EGY,25678,362260
2022-10-01,EGY,29685,391945
2022-11-01,EGY,45405,437350
2022-12-01,EGY,52526,489876
2023-01-01,EGY,19301,509177
2023-02-01,EGY,6468,515645
2023-03-01,EGY,0,515645
2019-12-01,EGY,0,515645
2020-01-01,EGY,0,515645
2020-02-01,EGY,0,515645
2020-03-01,EGY,0,515645
2020-04-01,EGY,0,515645
2020-05-01,EGY,0,515645
2020-06-01,EGY,0,515645
2020-07-01,EGY,0,515645
2020-08-01,EGY,0,515645
2020-09-01,EGY,21,515666
2020-10-01,EGY,32,515698
2020-10-01,SLV,9,9
2020-11-01,SLV,368,377
2020-12-01,SLV,1732,2109
2021-01-01,SLV,4627,6736
2021-02-01,SLV,9105,15841
2021-03-01,SLV,9299,25140
2021-04-01,SLV,3061,28201
2021-05-01,SLV,5155,33264
2021-06-01,SLV,4794,38058
2021-07-01,SLV,6270,44328
2021-08-01,SLV,9661,53989
2021-09-01,SLV,5566,59555
2021-10-01,SLV,5171,64726
2021-11-01,SLV,4196,68922
2021-12-01,SLV,3899,72821
2022-01-01,SLV,5945,78766
2022-02-01,SLV,7293,86059
2022-03-01,SLV,8001,94060
2022-04-01,SLV,7964,102024
2022-05-01,SLV,11398,113422
2022-06-01,SLV,4619,118041
2022-07-01,SLV,3700,121741
2022-08-01,SLV,5271,127012
2022-09-01,SLV,20774,147786
2022-10-01,SLV,13266,161052
2022-11-01,SLV,1037,162089
2022-12-01,SLV,0,162089
2023-01-01,SLV,7557,169646
2023-02-01,SLV,21172,190818
2023-03-01,SLV,0,190818
2019-12-01,SLV,0,190818
2020-01-01,SLV,0,190818
2020-02-01,SLV,10967,201785
2020-03-01,SLV,0,201785
2020-04-01,SLV,0,201785
2020-05-01,SLV,0,201785
2020-06-01,SLV,0,201785
2020-07-01,SLV,0,201785
2020-08-01,SLV,0,201785
2020-08-01,GNQ,21,21
2020-09-01,GNQ,418,439
2020-10-01,GNQ,867,1306
2020-11-01,GNQ,1765,3071
2020-12-01,GNQ,1750,4821
2021-01-01,GNQ,179,5000
2021-02-01,GNQ,66,5066
2021-03-01,GNQ,26,5092
2021-04-01,GNQ,74,5166
2021-05-01,GNQ,130,5296
2021-06-01,GNQ,318,5614
2021-07-01,GNQ,757,6371
2021-08-01,GNQ,848,7219
2021-09-01,GNQ,475,7694
2021-10-01,GNQ,968,8662
2021-11-01,GNQ,153,8815
2021-12-01,GNQ,136,8951
2022-01-01,GNQ,1547,10498
2022-02-01,GNQ,2288,12786
2022-03-01,GNQ,673,13459
2022-04-01,GNQ,140,13599
2022-05-01,GNQ,1272,14871
2022-06-01,GNQ,979,15850
2022-07-01,GNQ,48,15898
2022-08-01,GNQ,103,16001
2022-09-01,GNQ,6,15910
2022-10-01,GNQ,35,15945
2022-11-01,GNQ,522,16467
2022-12-01,GNQ,318,16785
2023-01-01,GNQ,180,16965
2023-02-01,GNQ,75,17040
2023-03-01,GNQ,41,17081
2019-12-01,GNQ,36,17117
2020-01-01,GNQ,65,17182
2020-02-01,GNQ,2,17184
2020-03-01,GNQ,2,17186
2020-04-01,GNQ,26,17212
2020-05-01,GNQ,17,17229
2020-05-01,ERI,29,29
2020-06-01,ERI,10,39
2020-07-01,ERI,0,39
2020-08-01,ERI,176,215
2020-09-01,ERI,64,279
2020-10-01,ERI,39,318
2020-11-01,ERI,80,398
2020-12-01,ERI,65,463
2021-01-01,ERI,169,632
2021-02-01,ERI,688,1320
2021-03-01,ERI,815,2135
2021-04-01,ERI,712,2847
2021-05-01,ERI,487,3334
2021-06-01,ERI,337,3671
2021-07-01,ERI,390,4061
2021-08-01,ERI,2027,6088
2021-09-01,ERI,459,6547
2021-10-01,ERI,101,6648
2021-11-01,ERI,75,6723
2021-12-01,ERI,111,6834
2022-01-01,ERI,624,7458
2022-02-01,ERI,591,8049
2022-03-01,ERI,1476,9525
2022-04-01,ERI,175,9700
2022-05-01,ERI,28,9728
2022-06-01,ERI,6,9734
2022-07-01,ERI,33,9767
2022-08-01,ERI,34,9801
2022-09-01,ERI,244,10045
2022-10-01,ERI,110,10155
2022-11-01,ERI,15,10170
2022-12-01,ERI,18,10188
2023-01-01,ERI,1,10189
2023-02-01,ERI,0,10189
2023-03-01,ERI,0,10189
2019-12-01,ERI,0,10189
2020-01-01,ERI,0,10189
2020-02-01,ERI,0,10189
2020-03-01,ERI,0,10189
2020-03-01,EST,10,10
2020-04-01,EST,1029,1039
2020-05-01,EST,694,1733
2020-06-01,EST,198,1931
2020-07-01,EST,62,1993
2020-08-01,EST,154,2147
2020-09-01,EST,344,2491
2020-10-01,EST,1086,3577
2020-11-01,EST,2356,5933
2020-12-01,EST,8567,14500
2021-01-01,EST,18589,33089
2021-02-01,EST,14423,47512
2021-03-01,EST,26172,73684
2021-04-01,EST,35253,108937
2021-05-01,EST,15964,124901
2021-06-01,EST,5167,130068
2021-07-01,EST,1093,131161
2021-08-01,EST,3789,134950
2021-09-01,EST,8583,143533
2021-10-01,EST,20270,163803
2021-11-01,EST,40345,204148
2021-12-01,EST,20506,224654
2022-01-01,EST,26585,251239
2022-02-01,EST,122661,373900
2022-03-01,EST,140167,514067
2022-04-01,EST,44186,558253
2022-05-01,EST,14181,572434
2022-06-01,EST,4436,576870
2022-07-01,EST,4690,581560
2022-08-01,EST,10587,591377
2022-09-01,EST,6461,597838
2022-10-01,EST,5509,603347
2022-11-01,EST,3953,607300
2022-12-01,EST,1997,609297
2023-01-01,EST,3154,612451
2023-02-01,EST,1452,613903
2023-03-01,EST,312,614215
2019-12-01,EST,0,614215
2020-01-01,EST,913,615128
2020-01-01,SWZ,1,1
2020-02-01,SWZ,14,15
2020-03-01,SWZ,202,217
2020-04-01,SWZ,346,563
2020-05-01,SWZ,1375,1938
2020-06-01,SWZ,2120,4058
2020-07-01,SWZ,1097,5155
2020-08-01,SWZ,650,5805
2020-09-01,SWZ,339,6144
2020-10-01,SWZ,882,7026
2020-11-01,SWZ,6763,13789
2020-12-01,SWZ,2884,16673
2021-01-01,SWZ,628,17301
2021-02-01,SWZ,1122,18423
2021-03-01,SWZ,107,18530
2021-04-01,SWZ,238,18768
2021-05-01,SWZ,2968,21736
2021-06-01,SWZ,16294,38030
2021-07-01,SWZ,7148,45178
2021-08-01,SWZ,1198,46376
2021-09-01,SWZ,108,46484
2021-10-01,SWZ,16406,62890
2021-11-01,SWZ,5085,67975
2021-12-01,SWZ,925,68900
2022-01-01,SWZ,710,69610
2022-02-01,SWZ,534,70144
2022-03-01,SWZ,1790,71934
2022-04-01,SWZ,1023,72957
2022-05-01,SWZ,290,73247
2022-06-01,SWZ,89,73336
2022-07-01,SWZ,43,73379
2022-08-01,SWZ,57,73436
2022-09-01,SWZ,272,73708
2022-10-01,SWZ,284,73992
2022-11-01,SWZ,94,74086
2022-12-01,SWZ,72,74158
2023-01-01,SWZ,41,74199
2023-01-01,ETH,23,23
2023-02-01,ETH,101,124
2023-03-01,ETH,7,131
2019-12-01,ETH,2,133
2020-01-01,ETH,930,1063
2020-02-01,ETH,4507,5570
2020-03-01,ETH,12429,17999
2020-04-01,ETH,31655,49654
2020-05-01,ETH,28206,77860
2020-06-01,ETH,18309,96169
2020-07-01,ETH,12761,108930
2020-08-01,ETH,16119,125049
2020-09-01,ETH,11972,137021
2020-10-01,ETH,21032,158053
2020-11-01,ETH,55258,213311
2020-12-01,ETH,44751,258062
2021-01-01,ETH,14743,272805
2021-02-01,ETH,3563,276368
2021-03-01,ETH,3997,280365
2021-04-01,ETH,24712,305077
2021-05-01,ETH,42895,347972
2021-06-01,ETH,16988,364960
2021-07-01,ETH,6217,371177
2021-08-01,ETH,53163,424340
2021-09-01,ETH,40414,464754
2021-10-01,ETH,4176,468930
2021-11-01,ETH,876,469806
2021-12-01,ETH,762,470568
2022-01-01,ETH,4147,474715
2022-02-01,ETH,14540,489255
2022-03-01,ETH,2939,492194
2022-04-01,ETH,948,493142
2022-05-01,ETH,445,493587
2022-06-01,ETH,352,493939
2022-07-01,ETH,787,494726
2022-08-01,ETH,3275,498001
2022-09-01,ETH,1465,499466
2022-10-01,ETH,573,500039
2022-11-01,FRO,169,169
2022-12-01,FRO,18,187
2023-01-01,FRO,0,187
2023-02-01,FRO,0,187
2023-03-01,FRO,0,187
2019-12-01,FRO,1,188
2020-01-01,FRO,37,225
2020-02-01,FRO,186,411
2020-03-01,FRO,63,474
2020-04-01,FRO,21,495
2020-05-01,FRO,15,510
2020-06-01,FRO,110,620
2020-07-01,FRO,34,654
2020-08-01,FRO,4,658
2020-09-01,FRO,3,661
2020-10-01,FRO,3,664
2020-11-01,FRO,79,743
2020-12-01,FRO,38,781
2021-01-01,FRO,206,987
2021-02-01,FRO,28,1015
2021-03-01,FRO,202,1217
2021-04-01,FRO,928,2145
2021-05-01,FRO,1771,3916
2021-06-01,FRO,2189,6105
2021-07-01,FRO,12994,19099
2021-08-01,FRO,15559,34658
2021-09-01,FRO,0,34658
2021-10-01,FRO,0,34658
2021-11-01,FRO,0,34658
2021-12-01,FRO,0,34658
2022-01-01,FRO,0,34658
2022-02-01,FRO,0,34658
2022-03-01,FRO,0,34658
2022-04-01,FRO,0,34658
2022-05-01,FRO,0,34658
2022-06-01,FRO,0,34658
2022-07-01,FRO,0,34658
2022-08-01,FRO,0,34658
2022-08-01,FLK,1,1
2022-09-01,FLK,12,13
2022-10-01,FLK,0,13
2022-11-01,FLK,0,13
2022-12-01,FLK,0,13
2023-01-01,FLK,0,13
2023-02-01,FLK,0,13
2023-03-01,FLK,0,13
2019-12-01,FLK,0,13
2020-01-01,FLK,0,13
2020-02-01,FLK,4,17
2020-03-01,FLK,12,29
2020-04-01,FLK,16,45
2020-05-01,FLK,9,54
2020-06-01,FLK,6,60
2020-07-01,FLK,3,63
2020-08-01,FLK,0,63
2020-09-01,FLK,0,63
2020-10-01,FLK,3,66
2020-11-01,FLK,1,67
2020-12-01,FLK,1,68
2021-01-01,FLK,13,79
2021-02-01,FLK,4,83
2021-03-01,FLK,2,85
2021-04-01,FLK,4,89
2021-05-01,FLK,27,116
2021-06-01,FLK,12,128
2021-07-01,FLK,69,197
2021-08-01,FLK,1536,1733
2021-09-01,FLK,98,1831
2021-10-01,FLK,36,1867
2021-11-01,FLK,19,1886
2021-12-01,FLK,44,1930
2022-01-01,FLK,0,1930
2022-02-01,FLK,0,1930
2022-03-01,FLK,0,1930
2022-04-01,FLK,0,1930
2022-05-01,FLK,0,1930
2022-05-01,FJI,255,68808
2022-06-01,FJI,68,68876
2022-07-01,FJI,35,68897
2022-08-01,FJI,4,18
2022-09-01,FJI,0,18
2022-10-01,FJI,3,21
2022-11-01,FJI,6,27
2022-12-01,FJI,1,28
2023-01-01,FJI,4,32
2023-02-01,FJI,2,34
2023-03-01,FJI,0,34
2020-03-01,FJI,1,35
2020-04-01,FJI,11,46
2020-05-01,FJI,9,55
2020-06-01,FJI,1,56
2020-07-01,FJI,11,67
2020-08-01,FJI,20,87
2020-09-01,FJI,137,224
2020-10-01,FJI,1574,1798
2020-11-01,FJI,20715,22513
2020-12-01,FJI,20781,43294
2021-01-01,FJI,7407,50701
2021-02-01,FJI,1276,51977
2021-03-01,FJI,476,52453
2021-04-01,FJI,170,52623
2021-05-01,FJI,8308,60931
2021-06-01,FJI,2693,63624
2021-07-01,FJI,597,64221
2021-08-01,FJI,303,64524
2021-09-01,FJI,317,64841
2021-10-01,FJI,624,65465
2021-11-01,FJI,1726,67191
2021-12-01,FJI,837,68028
2022-01-01,FJI,206,68234
2022-02-01,FJI,23,68257
2022-03-01,FJI,50,68307
2022-04-01,FJI,246,68553
2022-07-01,FIN,2,2
2022-08-01,FIN,411,413
2022-09-01,FIN,3144,3557
2022-10-01,FIN,3090,6647
2022-11-01,FIN,508,7155
2022-12-01,FIN,178,7333
2023-01-01,FIN,548,7881
2023-02-01,FIN,970,8851
2023-03-01,FIN,273,9124
2019-12-01,FIN,138,9262
2020-01-01,FIN,4751,14013
2020-02-01,FIN,5770,19783
2020-03-01,FIN,13988,33771
2020-04-01,FIN,6995,40766
2020-05-01,FIN,13760,54526
2020-06-01,FIN,18103,72629
2020-07-01,FIN,11946,84575
2020-08-01,FIN,7251,91826
2020-09-01,FIN,2719,94545
2020-10-01,FIN,6211,100756
2020-11-01,FIN,22268,123024
2020-12-01,FIN,14070,137094
2021-01-01,FIN,18567,155661
2021-02-01,FIN,22852,178513
2021-03-01,FIN,42177,220690
2021-04-01,FIN,181032,401722
2021-05-01,FIN,220995,622717
2021-06-01,FIN,189300,812017
2021-07-01,FIN,137566,949583
2021-08-01,FIN,131642,1081225
2021-09-01,FIN,44117,1125342
2021-10-01,FIN,45692,1171034
2021-11-01,FIN,79523,1250557
2021-12-01,FIN,26916,1277473
2022-01-01,FIN,57845,1335318
2022-02-01,FIN,49336,1384654
2022-03-01,FIN,43792,1428446
2022-04-01,FIN,20210,1448656
2022-05-01,FIN,12927,1461583
2022-06-01,FIN,1393,1462976
2022-06-01,FRA,11,11
2022-07-01,FRA,4482,4493
2022-08-01,FRA,74052,64395
2022-09-01,FRA,123265,178076
2022-10-01,FRA,22631,196395
2022-11-01,FRA,14315,210301
2022-12-01,FRA,27005,237306
2023-01-01,FRA,176878,414184
2023-02-01,FRA,344403,758587
2023-03-01,FRA,38335,796922
2019-12-01,FRA,52400,849322
2020-01-01,FRA,1135741,1938604
2020-02-01,FRA,439440,2378044
2020-03-01,FRA,513972,2892016
2020-04-01,FRA,555547,3447563
2020-05-01,FRA,775457,4223020
2020-06-01,FRA,1006566,5229586
2020-07-01,FRA,653390,5882976
2020-08-01,FRA,257897,5959322
2020-09-01,FRA,83914,5875941
2020-10-01,FRA,566443,6442384
2020-11-01,FRA,536696,6979080
2020-12-01,FRA,139808,7118888
2021-01-01,FRA,277166,7396054
2021-02-01,FRA,1109476,8505530
2021-03-01,FRA,4784490,13290020
2021-04-01,FRA,8134795,21424815
2021-05-01,FRA,2488147,23912962
2021-06-01,FRA,3588222,27501184
2021-07-01,FRA,1650675,29151859
2021-08-01,FRA,967158,30089270
2021-09-01,FRA,2648359,32737629
2021-10-01,FRA,1624097,34361726
2021-11-01,FRA,531852,34893578
2021-12-01,FRA,1271236,36164814
2022-01-01,FRA,1147901,37312715
2022-02-01,FRA,1472700,38785415
2022-03-01,FRA,690568,39475983
2022-04-01,FRA,119861,39595844
2022-05-01,FRA,78403,39674247
2022-05-01,PYF,25,25
2022-06-01,PYF,31,56
2022-07-01,PYF,4,60
2022-08-01,PYF,0,60
2022-09-01,PYF,2,62
2022-10-01,PYF,310,372
2022-11-01,PYF,1022,1394
2022-12-01,PYF,3154,4548
2023-01-01,PYF,8969,13517
2023-02-01,PYF,2893,16410
2023-03-01,PYF,140,16550
2019-12-01,PYF,0,16550
2020-01-01,PYF,1302,17852
2020-02-01,PYF,494,18346
2020-03-01,PYF,261,18607
2020-04-01,PYF,127,18734
2020-05-01,PYF,126,18860
2020-06-01,PYF,134,18994
2020-07-01,PYF,291,19285
2020-08-01,PYF,20893,40178
2020-09-01,PYF,0,40178
2020-10-01,PYF,5337,45515
2020-11-01,PYF,103,45609
2020-12-01,PYF,767,46376
2021-01-01,PYF,1668,48044
2021-02-01,PYF,17539,65583
2021-03-01,PYF,6285,71868
2021-04-01,PYF,780,72648
2021-05-01,PYF,263,72911
2021-06-01,PYF,323,73234
2021-07-01,PYF,1405,74639
2021-08-01,PYF,1776,76415
2021-09-01,PYF,173,76588
2021-10-01,PYF,170,76758
2021-11-01,PYF,69,76827
2021-12-01,PYF,1083,77910
2022-01-01,PYF,47,77957
2022-02-01,PYF,0,77957
2022-03-01,PYF,0,77957
2022-03-01,GAB,21,21
