date,iso_code,monthly_new_cases,monthly_total_cases
2020-06-01,AGO,4813,27921
2020-07-01,AGO,7219,35140
2020-08-01,AGO,4453,39593
2020-09-01,AGO,3676,43269
2020-10-01,AGO,4735,48004
2020-11-01,AGO,12799,60803
2020-12-01,AGO,3780,64583
2021-01-01,AGO,763,65346
2021-02-01,AGO,22279,87625
2021-03-01,AGO,10694,98319
2021-04-01,AGO,427,98746
2021-05-01,AGO,448,99194
2021-06-01,AGO,93,99287
2021-07-01,AGO,474,99761
2021-08-01,AGO,1559,101320
2021-09-01,AGO,981,102301
2021-10-01,AGO,335,102636
2021-11-01,AGO,495,103131
2021-12-01,AGO,0,103131
2022-01-01,AGO,1677,104808
2022-02-01,AGO,287,105095
2022-03-01,AGO,89,105184
2022-04-01,AGO,93,105277
2022-05-01,AGO,0,105277
2022-05-01,AIA,3,3
2022-06-01,AIA,0,3
2022-07-01,AIA,0,3
2022-08-01,AIA,0,3
2022-09-01,AIA,0,3
2022-10-01,AIA,0,3
2022-11-01,AIA,0,3
2022-12-01,AIA,1,4
2023-01-01,AIA,9,13
2023-02-01,AIA,3,16
2023-03-01,AIA,0,16
2019-12-01,AIA,0,16
2020-01-01,AIA,2,18
2020-02-01,AIA,4,22
2020-03-01,AIA,73,95
2020-04-01,AIA,14,109
2020-05-01,AIA,2,111
2020-06-01,AIA,2,113
2020-07-01,AIA,104,217
2020-08-01,AIA,236,453
2020-09-01,AIA,491,944
2020-10-01,AIA,442,1386
2020-11-01,AIA,288,1674
2020-12-01,AIA,650,2324
2021-01-01,AIA,250,2574
2021-02-01,AIA,126,2700
2021-03-01,AIA,88,2788
2021-04-01,AIA,415,3203
2021-05-01,AIA,273,3476
2021-06-01,AIA,104,3580
2021-07-01,AIA,257,3837
2021-08-01,AIA,29,3866
2021-09-01,AIA,0,3866
2021-10-01,AIA,38,3904
2021-11-01,AIA,0,3904
2021-12-01,AIA,0,3904
2022-01-01,AIA,0,3904
2022-01-01,ATG,1,1
2022-02-01,ATG,20,21
2022-03-01,ATG,4,25
2022-04-01,ATG,1,26
2022-05-01,ATG,49,74
2022-06-01,ATG,18,92
2022-07-01,ATG,3,95
2022-08-01,ATG,16,111
2022-09-01,ATG,20,131
2022-10-01,ATG,17,148
2022-11-01,ATG,21,169
2022-12-01,ATG,119,288
2023-01-01,ATG,674,962
2023-02-01,ATG,235,1197
2023-03-01,ATG,4,1201
2019-12-01,ATG,8,1209
2020-01-01,ATG,32,1240
2020-02-01,ATG,23,1263
2020-03-01,ATG,4,1267
2020-04-01,ATG,105,1372
2020-05-01,ATG,932,2304
2020-06-01,ATG,1526,3830
2020-07-01,ATG,272,4102
2020-08-01,ATG,76,4178
2020-09-01,ATG,1036,5214
2020-10-01,ATG,2107,7321
2020-11-01,ATG,149,7470
2020-12-01,ATG,65,7535
2021-01-01,ATG,375,7910
2021-02-01,ATG,627,8537
2021-03-01,ATG,167,8704
2021-04-01,ATG,105,8809
2021-05-01,ATG,199,9008
2021-06-01,ATG,98,9106
2021-07-01,ATG,0,9106
2021-08-01,ATG,0,9106
2021-09-01,ATG,0,9106
2021-10-01,ATG,0,9106
2021-11-01,ATG,0,9106
2021-11-01,ARG,1989,10044125
2021-12-01,ARG,,
2022-01-01,ARG,45,45
2022-02-01,ARG,2097,2142
2022-03-01,ARG,3892,6034
2022-04-01,ARG,16760,22794
2022-05-01,ARG,77372,100166
2022-06-01,ARG,146333,246499
2022-07-01,ARG,309038,555537
2022-08-01,ARG,338669,894206
2022-09-01,ARG,347976,1242182
2022-10-01,ARG,255978,1498160
2022-11-01,ARG,224057,1722217
2022-12-01,ARG,258130,1980347
2023-01-01,ARG,215375,2195722
2023-02-01,ARG,336840,2532562
2023-03-01,ARG,71595,2604157
2019-12-01,ARG,54471,2658628
2020-01-01,ARG,610838,3269466
2020-02-01,ARG,823624,4093090
2020-03-01,ARG,644123,4737213
2020-04-01,ARG,337512,5074725
2020-05-01,ARG,162434,5237159
2020-06-01,ARG,34202,5271361
2020-07-01,ARG,32698,5304059
2020-08-01,ARG,78231,5382290
2020-09-01,ARG,1550682,6932972
2020-10-01,ARG,1783968,8716940
2020-11-01,ARG,287889,9004829
2020-12-01,ARG,55115,9059944
2021-01-01,ARG,75364,9135308
2021-02-01,ARG,178145,9313453
2021-03-01,ARG,112718,9426171
2021-04-01,ARG,176363,9602534
2021-05-01,ARG,95229,9697763
2021-06-01,ARG,15831,9713594
2021-07-01,ARG,6638,9720232
2021-08-01,ARG,46743,9766975
2021-09-01,ARG,237704,10004679
2021-10-01,ARG,37457,10042136
2021-11-01,ARM,,
2021-12-01,ARM,18,18
2022-01-01,ARM,1230,1248
2022-02-01,ARM,3035,4283
2022-03-01,ARM,11721,16004
2022-04-01,ARM,15388,31392
2022-05-01,ARM,10103,41495
2022-06-01,ARM,4180,45675
2022-07-01,ARM,17325,63000
2022-08-01,ARM,52855,115855
2022-09-01,ARM,31457,147312
2022-10-01,ARM,16923,164235
2022-11-01,ARM,4787,169022
2022-12-01,ARM,8877,177899
2023-01-01,ARM,30074,207973
2023-02-01,ARM,12756,220729
2023-03-01,ARM,410,221139
2019-12-01,ARM,420,221559
2020-01-01,ARM,2441,224000
2020-02-01,ARM,2949,226949
2020-03-01,ARM,9285,236234
2020-04-01,ARM,15089,251323
2020-05-01,ARM,37583,288906
2020-06-01,ARM,43008,331914
2020-07-01,ARM,11243,343157
2020-08-01,ARM,6172,349329
2020-09-01,ARM,62549,411878
2020-10-01,ARM,10324,422202
2020-11-01,ARM,603,422805
2020-12-01,ARM,112,422917
2021-01-01,ARM,187,423104
2021-02-01,ARM,1296,424400
2021-03-01,ARM,5961,430361
2021-04-01,ARM,8941,439302
2021-05-01,ARM,5567,444869
2021-06-01,ARM,644,445513
2021-07-01,ARM,368,445881
2021-08-01,ARM,127,446008
2021-09-01,ARM,324,446332
2021-10-01,ARM,487,446819
2021-10-01,ABW,55,55
2021-11-01,ABW,45,100
2021-12-01,ABW,1,101
2022-01-01,ABW,2,103
2022-02-01,ABW,16,119
2022-03-01,ABW,1551,1670
2022-04-01,ABW,1995,3665
2022-05-01,ABW,772,4437
2022-06-01,ABW,314,4751
2022-07-01,ABW,622,5373
2022-08-01,ABW,1395,6768
2022-09-01,ABW,967,7735
2022-10-01,ABW,1639,9374
2022-11-01,ABW,1196,10570
2022-12-01,ABW,366,10936
2023-01-01,ABW,199,11135
2023-02-01,ABW,325,11460
2023-03-01,ABW,191,11651
2019-12-01,ABW,226,11877
2020-01-01,ABW,2699,14576
2020-02-01,ABW,872,15448
2020-03-01,ABW,489,15937
2020-04-01,ABW,417,16354
2020-05-01,ABW,6694,23048
2020-06-01,ABW,10036,33084
2020-07-01,ABW,600,33684
2020-08-01,ABW,367,34051
2020-09-01,ABW,795,34846
2020-10-01,ABW,2188,37034
2020-11-01,ABW,3966,41000
2020-12-01,ABW,1217,42217
2021-01-01,ABW,697,42914
2021-02-01,ABW,56,42970
2021-03-01,ABW,1218,44145
2021-04-01,ABW,234,43568
2021-05-01,ABW,184,43752
2021-06-01,ABW,241,43993
2021-07-01,ABW,33,44026
2021-08-01,ABW,18,44044
2021-08-01,AUS,15,15
2021-09-01,AUS,2029,2044
2021-10-01,AUS,4700,6744
2021-11-01,AUS,395,7139
2021-12-01,AUS,382,7521
2022-01-01,AUS,8061,15582
2022-02-01,AUS,9622,25204
2022-03-01,AUS,1768,26972
2022-04-01,AUS,471,27443
2022-05-01,AUS,410,27853
2022-06-01,AUS,384,28237
2022-07-01,AUS,549,28786
2022-08-01,AUS,153,28939
2022-09-01,AUS,282,29221
2022-10-01,AUS,529,29750
2022-11-01,AUS,296,30046
2022-12-01,AUS,334,30380
2023-01-01,AUS,3093,33473
2023-02-01,AUS,13252,46725
2023-03-01,AUS,4531,51256
2019-12-01,AUS,2612,53868
2020-01-01,AUS,47043,100911
2020-02-01,AUS,61105,162016
2020-03-01,AUS,48222,210238
2020-04-01,AUS,112037,322275
2020-05-01,AUS,2284967,2607242
2020-06-01,AUS,657205,3235017
2020-07-01,AUS,1146902,4381919
2020-08-01,AUS,1648321,6030240
2020-09-01,AUS,1246455,7276695
2020-10-01,AUS,781034,8057729
2020-11-01,AUS,1415553,9473282
2020-12-01,AUS,544755,10018037
2021-01-01,AUS,225158,10243195
2021-02-01,AUS,136247,10379442
2021-03-01,AUS,274454,10653896
2021-04-01,AUS,426790,11080686
2021-05-01,AUS,214760,11295446
2021-06-01,AUS,71134,11366361
2021-07-01,AUS,19173,11385534
2021-07-01,AUT,1226,1225
2021-08-01,AUT,13679,14904
2021-09-01,AUT,1343,16247
2021-10-01,AUT,1079,17326
2021-11-01,AUT,2414,19740
2021-12-01,AUT,4017,23757
2022-01-01,AUT,15656,39413
2022-02-01,AUT,28729,68142
2022-03-01,AUT,147005,215147
2022-04-01,AUT,110237,325384
2022-05-01,AUT,67663,393047
2022-06-01,AUT,38673,431720
2022-07-01,AUT,83401,515121
2022-08-01,AUT,77007,592128
2022-09-01,AUT,41206,633334
2022-10-01,AUT,11930,645264
2022-11-01,AUT,4844,650108
2022-12-01,AUT,15885,665993
2023-01-01,AUT,57141,723134
2023-02-01,AUT,53840,776974
2023-03-01,AUT,11086,788060
2019-12-01,AUT,7242,795302
2020-01-01,AUT,258239,1053541
2020-02-01,AUT,191587,1245128
2020-03-01,AUT,364370,1609498
2020-04-01,AUT,875319,2484817
2020-05-01,AUT,1275832,3760649
2020-06-01,AUT,382334,4142983
2020-07-01,AUT,130905,4273888
2020-08-01,AUT,151949,4425837
2020-09-01,AUT,308168,4734005
2020-10-01,AUT,181069,4915074
2020-11-01,AUT,177560,5079700
2020-12-01,AUT,322462,5402162
2021-01-01,AUT,148413,5550575
2021-02-01,AUT,133960,5684530
2021-03-01,AUT,72352,5756882
2021-04-01,AUT,109555,5866420
2021-05-01,AUT,70246,5936666
2021-05-01,AZE,72,72
2021-06-01,AZE,1364,1436
2021-07-01,AZE,1951,3387
2021-08-01,AZE,9820,13207
2021-09-01,AZE,14683,27890
2021-10-01,AZE,7536,35426
2021-11-01,AZE,3854,39280
2021-12-01,AZE,6015,45295
2022-01-01,AZE,49986,95281
2022-02-01,AZE,108312,203593
2022-03-01,AZE,23798,227391
2022-04-01,AZE,4806,232197
2022-05-01,AZE,14777,246974
2022-06-01,AZE,54687,301661
2022-07-01,AZE,30949,332610
2022-08-01,AZE,2911,335521
2022-09-01,AZE,3065,338586
2022-10-01,AZE,55865,394451
2022-11-01,AZE,79008,473459
2022-12-01,AZE,29993,503452
2023-01-01,AZE,71347,574799
2023-02-01,AZE,36096,610895
2023-03-01,AZE,3224,614119
2019-12-01,AZE,817,614936
2020-01-01,AZE,19552,634488
2020-02-01,AZE,140944,775432
2020-03-01,AZE,16334,791766
2020-04-01,AZE,730,792496
2020-05-01,AZE,288,792759
