date,iso_code,monthly_vaccinations,monthly_total_vaccinations,monthly_fully_vaccinated
2021-07-01,MRT,2591,166277,12651
2021-11-01,MRT,10385,1030659,663351
2021-12-01,MRT,9151,1112438,711701
2021-11-01,MUS,35153,913774,878513
2020-12-01,MEX,18174,24998,
2021-05-01,MEX,8647055,58906303,35623880
2021-06-01,MEX,11587998,59059884,35813552
2021-07-01,MEX,17727649,65879194,46986802
2021-08-01,MEX,14097240,74953313,62264479
2021-09-01,MEX,13191399,79202068,65630611
2021-10-01,MEX,17924676,74607721,60565545
2021-11-01,MEX,4469139,76845255,65038728
2021-12-01,MEX,11846679,81913687,72694585
2021-01-01,MEX,3333409,77011430,65089672
2021-02-01,MEX,4349074,77366309,65166868
2021-03-01,MEX,6162027,48095458,25912407
2021-04-01,MEX,8322367,74687340,61036413
2022-02-01,MEX,6400760,85261393,78987826
2022-03-01,MEX,5264714,85580293,79711762
2022-04-01,MEX,2780029,85797486,79050604
2022-05-01,MEX,191455,82114490,72979978
2022-06-01,MEX,606512,82152852,73347525
2022-09-01,MEX,1233779,85359340,79199042
2022-10-01,MEX,1156641,85376554,79235679
2022-11-01,MEX,1003969,84016011,77809539
2022-01-01,MEX,9607957,85238025,78945844
2022-07-01,MEX,53402,83903511,77614361
2022-08-01,MEX,134020,83917663,77632311
2022-12-01,MEX,592569,84064526,77885188
2021-11-01,MDA,74413,948882,956010
2021-12-01,MDA,87535,489576,982152
2021-03-01,MDA,77528,824986,943618
2021-01-01,MDA,23129,549478,876595
2021-07-01,MDA,211625,548890,948952
2021-04-01,MDA,75283,460800,944930
2021-05-01,MDA,190051,464080,887228
2021-06-01,MDA,199865,468103,888318
2021-08-01,MDA,26662,475466,951124
2021-02-01,MDA,25993,551424,879489
2021-10-01,MDA,63930,884590,873078
2021-09-01,MDA,27712,479124,810274
2022-01-01,MDA,104603,,1040065
2022-02-01,MDA,39808,,1040940
2022-03-01,MDA,30145,,1054899
2022-04-01,MDA,13190,,1059577
2022-05-01,MDA,6463,,986001
2022-06-01,MDA,5444,,1056470
2022-07-01,MDA,417,,987376
2022-08-01,MDA,12992,,1044208
2022-09-01,MDA,5522,,1045183
2022-10-01,MDA,8419,,1057211
2022-11-01,MDA,9013,,1057498
2022-12-01,MDA,16753,,995778
2021-02-01,MNG,205719,2261082,2152387
2021-10-01,MNG,75097,2254204,2136979
2021-11-01,MNG,90508,2260178,2150479
2021-12-01,MNG,937113,2265951,2163528
2021-03-01,MNG,420628,2261289,2152919
2021-01-01,MNG,141874,2251542,2130369
2021-04-01,MNG,438311,2261462,2153234
2021-05-01,MNG,925112,2261533,2153408
2021-06-01,MNG,361716,2261816,2153968
2021-09-01,MNG,113048,2262458,2155257
2021-07-01,MNG,388736,2252459,2132912
2021-08-01,MNG,210689,2245049,2109998
2022-01-01,MNG,60185,2269816,2170691
2022-02-01,MNG,5603,2271548,2172909
2022-05-01,MNG,3517,2266323,2164579
2022-06-01,MNG,4155,2272577,2174840
2022-07-01,MNG,4865,2266748,2165862
2022-08-01,MNG,5447,2271860,2173366
2022-09-01,MNG,2108,2266964,2166235
2022-10-01,MNG,2194,2270107,2171173
2022-11-01,MNG,6722,2272000,2173542
2022-12-01,MNG,6182,2272019,2173594
2022-03-01,MNG,2350,2272327,2174398
2022-04-01,MNG,3386,2272965,2175617
2021-02-01,MNE,17061,275639,257284
2021-06-01,MNE,38050,277326,259738
2021-03-01,MNE,33789,276240,257998
2021-01-01,MNE,18989,275113,256556
2021-04-01,MNE,37361,276861,258896
2021-05-01,MNE,105271,277220,259469
2021-07-01,MNE,38140,277934,260679
2021-08-01,MNE,55267,278394,261405
2021-09-01,MNE,54520,278846,262063
2021-10-01,MNE,42193,279249,262748
2021-11-01,MNE,31170,279631,263380
2021-12-01,MNE,101872,283884,272853
2022-01-01,MNE,11053,292127,284243
2022-04-01,MNE,2695,292235,284331
2022-05-01,MNE,3867,292267,284356
2022-06-01,MNE,2897,292328,284408
2022-07-01,MNE,2038,292334,284409
2022-08-01,MNE,1785,292661,284747
2022-09-01,MNE,1376,292368,284450
2022-10-01,MNE,969,292393,284478
2022-11-01,MNE,1054,292416,284501
2022-12-01,MNE,821,292446,284524
2022-02-01,MNE,3700,292152,284265
2022-03-01,MNE,2644,292187,284297
2021-01-01,MAR,1028986,18875138,15285804
2021-02-01,MAR,3040285,13973650,10283660
2021-03-01,MAR,3301133,14581754,10574472
2021-04-01,MAR,1026199,19110905,15529630
2021-05-01,MAR,2546957,19136490,15552325
2021-06-01,MAR,2637309,19529591,15992481
2021-09-01,MAR,1236005,19745725,16257925
2021-10-01,MAR,981425,19884992,16386208
2021-11-01,MAR,1149940,24517118,22764566
2021-12-01,MAR,1379016,16034986,11299174
2021-07-01,MAR,3895061,15037701,10896199
2021-08-01,MAR,5131866,18379071,14629875
2022-01-01,MAR,51870,24744892,23159603
2022-02-01,MAR,1417,25009841,23508519
2022-12-01,MAR,686,25014256,23514674
2023-02-01,MAR,1204,25018493,23519859
2021-03-01,MOZ,295812,6685501,4114267
2021-01-01,MMR,3800,3800,
2021-01-01,NAM,7872,164703,49356
2021-12-01,NAM,12486,181344,71158
2021-04-01,NAM,14810,169790,51138
2021-06-01,NAM,52615,173428,52681
2021-07-01,NAM,57093,174896,53455
2021-08-01,NAM,24503,187892,80664
2021-09-01,NAM,5479,130048,29537
2021-10-01,NAM,6866,131019,30505
2021-11-01,NAM,16220,179324,65556
2021-05-01,NAM,25665,171499,51828
2021-02-01,NAM,4216,165427,49554
2021-03-01,NAM,6884,168076,50377
2021-09-01,NRU,168,168,
2021-08-01,NPL,1391852,8041594,6441632
2021-09-01,NPL,2827999,8127262,6446957
2021-10-01,NPL,491082,8562365,6485923
2021-11-01,NPL,400819,8317902,6462776
2021-04-01,NPL,533092,7805683,6384172
2021-05-01,NPL,517452,7913555,6409196
2021-06-01,NPL,335680,7962647,6419480
2021-01-01,NPL,493416,5424836,4667328
2021-12-01,NPL,174952,8381727,6468775
2021-07-01,NPL,1220939,8008854,6430431
2021-02-01,NPL,297403,5425888,4677976
2021-03-01,NPL,284502,7716985,6352322
2022-02-01,NPL,574400,22413482,19885258
2022-01-01,NPL,137714,22263497,19591350
2022-05-01,NPL,773201,22436638,19919340
2022-09-01,NPL,255575,22458729,19969662
2022-12-01,NPL,172682,22346109,19738517
2022-03-01,NPL,1459731,22425004,19902055
2022-04-01,NPL,1208899,23433211,20359274
2022-06-01,NPL,1501423,22995709,20267818
2022-07-01,NPL,229080,22447580,19939784
2022-08-01,NPL,164911,22452894,19953304
2022-11-01,NPL,141622,27357469,23749154
2022-10-01,NPL,160643,22462593,19976900
2021-02-01,NZL,300489,3907270,3655244
2021-01-01,NZL,286250,3898563,3638477
2021-03-01,NZL,327453,3914720,3672694
2021-04-01,NZL,424301,3920398,3686762
2021-05-01,NZL,471716,3923135,3693524
2021-06-01,NZL,615338,3927753,3704237
2021-07-01,NZL,824993,3932168,3714443
2021-08-01,NZL,1402099,3935985,3723874
2021-09-01,NZL,1164892,3939379,3733127
2021-10-01,NZL,1147493,3942275,3742412
2021-11-01,NZL,675308,3945046,3750936
2021-12-01,NZL,545055,3971278,3856165
2022-01-01,NZL,1029897,4298997,4136821
2022-02-01,NZL,643847,4299030,4136898
2022-03-01,NZL,265648,4299068,4137019
2022-04-01,NZL,173531,4299076,4137035
2022-05-01,NZL,180810,4299098,4137092
2022-06-01,NZL,160467,4299127,4137142
2022-07-01,NZL,337158,4299160,4137198
2022-08-01,NZL,246210,4299198,4137252
2022-09-01,NZL,161866,4299232,4137340
2022-10-01,NZL,187281,4299266,4137434
2022-11-01,NZL,202588,4299293,4137484
2022-12-01,NZL,181499,4299867,4138508
2023-01-01,NZL,12088,4300686,4139893
2023-02-01,NZL,4896,4301076,4140472
2023-03-01,NZL,842,4300734,4139973
2023-04-01,NZL,1291,4300745,4139998
2023-05-01,NZL,1281,4300751,4140006
2023-06-01,NZL,1122,4300756,4140013
2023-07-01,NZL,1015,4300774,4140040
2023-08-01,NZL,659,4300787,4140061
2023-09-01,NZL,1538,4300804,4140085
2023-10-01,NZL,1926,4300834,4140116
2023-11-01,NZL,1475,4300851,4140141
2023-12-01,NZL,1357,4300854,4140152
2022-08-01,NIC,0,5956466,5555994
2022-12-01,NIC,0,6162718,5915309
2021-01-01,NGA,121618,1960493,90735
2021-04-01,NGA,142677,1246845,
2021-02-01,NGA,66537,1961883,148258
2021-03-01,NGA,804291,7131832,3785359
2021-05-01,NGA,291218,1956598,73465
2021-06-01,NGA,198064,3600858,1576011
2021-07-01,NGA,326014,1615787,
2021-08-01,NGA,37505,1653292,
2021-09-01,NGA,12406,1665698,
2021-10-01,NGA,31545,1697243,
2021-11-01,NGA,310821,6329967,3516215
2021-12-01,NGA,631585,10310476,4482899
2022-01-01,NGA,186047,13921810,5225083
2021-03-01,MKD,30745,358686,227851
2021-08-01,MKD,128766,712339,521784
2021-09-01,MKD,59222,786979,726625
2021-10-01,MKD,87646,804151,774464
2021-04-01,MKD,38941,807528,778482
2021-05-01,MKD,125018,528117,416614
2021-11-01,MKD,68794,758623,623278
2021-12-01,MKD,31807,571392,462192
2021-01-01,MKD,48310,788058,729794
2021-02-01,MKD,43339,733227,547105
2021-06-01,MKD,102317,792174,740822
2021-07-01,MKD,160937,514021,390562
2020-09-01,NOR,1,6,
2020-10-01,NOR,1,7,
2020-11-01,NOR,4,11,
2020-12-01,NOR,2401,2422,
2021-01-01,NOR,457004,4254810,3854851
2021-02-01,NOR,607893,4257252,3864887
2021-03-01,NOR,610095,4258481,3868420
2021-04-01,NOR,865747,4258616,3868633
2021-05-01,NOR,806446,4258636,3868670
2021-06-01,NOR,1145829,4259680,3871000
2021-07-01,NOR,1032334,4261183,3874823
2021-08-01,NOR,1382873,4263850,3880556
2021-09-01,NOR,782101,4266733,3886976
2021-10-01,NOR,431643,4267998,3889322
2021-11-01,NOR,753891,4268077,3889595
2021-12-01,NOR,911186,4292402,3929338
2022-01-01,NOR,721288,4346740,4054379
2022-02-01,NOR,120739,4346789,4054438
2022-03-01,NOR,112389,4346824,4054499
2022-04-01,NOR,120638,4346852,4054528
2022-05-01,NOR,150264,4346854,4054528
2022-06-01,NOR,158347,4346210,4053663
2022-07-01,NOR,149903,4346235,4053687
2022-08-01,NOR,221590,4346893,4054584
2022-09-01,NOR,197105,4346936,4054643
2022-10-01,NOR,153585,4346978,4054701
2022-11-01,NOR,102645,4346995,4054726
2022-12-01,NOR,121590,4346995,4054726
2020-12-01,OMN,4799,6516,
2021-03-01,OMN,1595,8826,
2021-04-01,OMN,1902,10728,
2021-05-01,OMN,2023,12751,
2021-06-01,OMN,1254,14005,
2021-07-01,OMN,906,14911,
2021-08-01,OMN,69,14980,
2021-09-01,OMN,2089,28920,12272
2021-10-01,OMN,6575,79149,19019
2021-11-01,OMN,4212,32793,12272
2021-12-01,OMN,4126,34557,12272
2021-01-01,OMN,14700,24773,12272
2021-02-01,OMN,20831,48641,19019
2021-05-01,PAK,3818927,73979036,43849554
2021-06-01,PAK,5774112,82224088,53031529
2021-02-01,PAK,3347816,81076341,51163078
2021-03-01,PAK,305093,5920955,2174169
2021-04-01,PAK,1820006,27117311,
2021-11-01,PAK,5384335,80284860,50184100
2021-07-01,PAK,7924876,48943904,20525969
2021-01-01,PAK,2330396,44701679,18004529
2021-10-01,PAK,5170446,84243233,56119999
2021-12-01,PAK,12780828,95159489,68508472
2021-08-01,PAK,4208090,75278560,45084862
2021-09-01,PAK,7512496,83679855,55309570
2022-04-01,PAK,6145703,139549436,129747931
2022-05-01,PAK,4415093,139418295,129842897
2022-06-01,PAK,18375341,139423668,129921311
2022-07-01,PAK,9785420,139558129,129271041
2022-12-01,PAK,2779517,139448252,124047329
2022-01-01,PAK,5340199,139537074,131158124
2022-02-01,PAK,5918774,139165861,131202811
2022-03-01,PAK,3062243,139177409,131233589
2022-08-01,PAK,5103490,139217644,131335070
2022-09-01,PAK,5260761,139394287,131356214
2022-10-01,PAK,3893596,139566638,101881176
2022-11-01,PAK,1777958,139628133,123974589
2021-03-01,PSE,77966,1086136,231138
2021-01-01,PSE,89869,991613,225906
2021-04-01,PSE,84607,1087037,1135958
2021-05-01,PSE,86471,1101246,1146311
2021-06-01,PSE,217674,1134275,1156653
2021-07-01,PSE,111522,1150913,1164783
2021-08-01,PSE,398660,1168458,1172178
2021-09-01,PSE,414258,1402892,12471
2021-10-01,PSE,25513,1202045,12471
2021-11-01,PSE,12317,1202482,13167
2021-12-01,PSE,37617,1209530,14674
2021-02-01,PSE,84306,1040522,228083
2022-06-01,PSE,0,2008544,1772479
2021-01-01,PAN,11144,116326,5863
2021-02-01,PAN,100285,126732,5878
2021-03-01,PAN,16976,243926,98790
2021-04-01,PAN,14134,144529,5882
2021-05-01,PAN,16533,161039,5892
2021-06-01,PAN,27784,191140,5892
2021-07-01,PAN,13700,202522,5893
2021-08-01,PAN,3336,205850,5901
2021-09-01,PAN,2741,208590,5902
2021-10-01,PAN,10273,218861,5904
2021-11-01,PAN,8600,227461,5904
2022-11-01,PAN,5925,3386244,2966931
2022-08-01,PAN,26682,3485515,3119290
2021-02-01,PRY,110260,2285863,1799140
2021-01-01,PRY,70626,2285829,1797319
2021-03-01,PRY,165204,2286067,1803315
2021-04-01,PRY,231538,2286112,1809568
2021-05-01,PRY,343955,2286112,1809569
2021-06-01,PRY,442375,2279880,678106
2021-09-01,PRY,105588,2621847,1866306
2021-10-01,PRY,66785,2281572,854687
2021-11-01,PRY,140104,2281936,960356
2021-12-01,PRY,263449,2281997,1076684
2021-07-01,PRY,1409678,2280059,737087
2021-08-01,PRY,755939,2285695,1773403
2022-01-01,PRY,33555,,3462777
2023-01-01,PRY,10109,3981399,3537084
2021-10-01,PER,5866075,23642144,20197915
2021-11-01,PER,6735098,23781401,20388782
2021-12-01,PER,6357594,24840151,22086074
2021-02-01,PER,1970180,23080039,19308454
2021-01-01,PER,1438481,23011193,19200013
2021-03-01,PER,2137304,23147759,19413340
2021-04-01,PER,2189615,23229225,19552542
2021-05-01,PER,3474812,23294614,19665716
2021-06-01,PER,3688140,23354725,19758114
2021-07-01,PER,5478054,23414142,19858232
2021-08-01,PER,5025466,23460476,19933506
2021-09-01,PER,6729841,23528993,20045854
2022-01-01,PER,4605214,30139953,28373796
2022-02-01,PER,4394780,30144043,28376189
2022-03-01,PER,4052598,30147877,28378475
2022-04-01,PER,3740213,30149116,28379321
2022-05-01,PER,3117343,30153230,28381815
2022-06-01,PER,2710530,30156969,28384202
2022-07-01,PER,3178098,30161065,28387003
2022-08-01,PER,2649354,30162865,28388240
2022-09-01,PER,1997323,30164817,28389714
2022-10-01,PER,1736399,30167947,28392244
2022-11-01,PER,1883501,30169257,28393262
2022-12-01,PER,1577768,30219427,28438209
2023-01-01,PER,443716,30337803,28538570
2023-02-01,PER,384145,30338086,28538862
2023-03-01,PER,42860,30289652,28497126
2023-04-01,PER,39710,30291394,28498505
2023-05-01,PER,25027,30291825,28498907
2023-06-01,PER,46164,30294067,28500771
2023-07-01,PER,43256,30296374,28502729
2023-08-01,PER,34658,30298663,28504609
2023-09-01,PER,49543,30300894,28506514
2023-10-01,PER,50851,30303273,28508552
2023-11-01,PER,43198,30305020,28510248
2023-12-01,PER,30675,30305552,28510734
2021-01-01,PHL,3494193,8002640,36869419
2021-02-01,PHL,2259479,56110301,37353438
2021-07-01,PHL,1967544,11204316,22874013
2021-08-01,PHL,2181432,9399801,13197689
2021-09-01,PHL,5022757,27836530,21358676
2021-10-01,PHL,6864522,32954936,26803677
2021-03-01,PHL,2627268,12206553,28198294
2021-06-01,PHL,3798712,7810469,38699023
2021-12-01,PHL,5935542,9669940,48647158
2021-04-01,PHL,2142258,1744649,21991452
2021-05-01,PHL,2573803,4386467,22402105
2021-11-01,PHL,5675820,40517967,32993083
2022-05-01,PHL,1048851,,66341257
2022-06-01,PHL,1033255,,51655649
2022-10-01,PHL,885191,,52849101
2022-11-01,PHL,1054191,,53389481
2022-12-01,PHL,980980,,53905973
2022-01-01,PHL,5212679,,59120367
2022-02-01,PHL,453482,,59389080
2022-04-01,PHL,227791,,67100671
2020-12-01,POL,45600,47600,
2021-03-01,POL,2060701,20938216,20500035
2021-04-01,POL,3486341,20968528,20521241
2021-05-01,POL,4830229,20976105,20526976
2021-06-01,POL,4590473,21022140,20562999
2021-07-01,POL,3150393,20356977,20059964
2021-08-01,POL,1947176,20373465,20072598
2021-09-01,POL,1391035,20395051,20088239
2021-10-01,POL,1087976,20232132,19950503
2021-11-01,POL,2189917,21171467,20685210
2021-12-01,POL,2937906,21673668,21046400
2021-01-01,POL,1999202,20249639,19966504
2021-02-01,POL,2211940,20901641,20470166
2022-01-01,POL,2290737,22828328,22601575
2022-02-01,POL,774565,22806127,22580092
2022-03-01,POL,607401,22807242,22581206
2022-04-01,POL,668423,22830379,22603626
2022-05-01,POL,674674,22830453,22603697
2022-06-01,POL,204237,22830753,22604006
2022-07-01,POL,748380,22830949,22604207
2022-08-01,POL,977891,22831387,22604609
2022-09-01,POL,672354,22832487,22605654
2022-10-01,POL,636098,22832629,22605800
2022-11-01,POL,566994,22832951,22606368
2022-12-01,POL,557530,22850777,22623876
2023-01-01,POL,53193,22870482,22642090
2023-02-01,POL,23481,22870567,22642212
2023-03-01,POL,11011,22870672,22642317
2023-04-01,POL,7062,22868045,22639335
2023-05-01,POL,6940,22868052,22639345
2023-06-01,POL,1589,22868195,22639452
2023-07-01,POL,2979,22868315,22639561
2023-08-01,POL,1737,22868453,22639664
2023-09-01,POL,7459,22868653,22639876
2023-10-01,POL,6076,22868767,22640035
2023-11-01,POL,4733,22868867,22640117
2023-12-01,POL,4442,22868936,22640137
2021-03-01,QAT,354023,2089771,1769513
2021-01-01,QAT,180600,2327768,2152194
2021-02-01,QAT,171005,2337318,2164079
2021-04-01,QAT,586419,2100664,1772225
2021-05-01,QAT,722477,2113896,1802967
2021-06-01,QAT,495888,2125355,1813244
2021-07-01,QAT,458207,2127479,1814792
2021-08-01,QAT,473607,2318916,2094413
2021-09-01,QAT,232884,2351673,2209836
2021-10-01,QAT,177236,2175812,1836724
2021-11-01,QAT,167518,2185670,1852885
2021-12-01,QAT,199031,1854292,1554131
2022-01-01,QAT,440338,2632575,2632575
2022-02-01,QAT,268714,,
2022-03-01,QAT,141669,,
2022-04-01,QAT,100178,,
2022-05-01,QAT,105446,,
2022-06-01,QAT,27096,,
2022-10-01,QAT,58471,,
2022-11-01,QAT,42865,,
2022-12-01,QAT,11730,,
2022-07-01,QAT,18292,,
2022-08-01,QAT,26919,,
2022-09-01,QAT,14637,,
2020-12-01,ROU,9324,10289,
2021-01-01,ROU,988510,5250401,7443783
2021-02-01,ROU,910997,5258194,7463963
2021-03-01,ROU,1479176,5266224,7488507
2021-04-01,ROU,1971560,5270799,7507203
2021-05-01,ROU,2092378,5273535,7522127
2021-06-01,ROU,968744,5279087,7541662
2021-07-01,ROU,736156,5285433,7559544
2021-08-01,ROU,727800,5292279,7575337
2021-09-01,ROU,841245,5474507,7593882
2021-10-01,ROU,2280475,5306297,7612830
2021-11-01,ROU,1823973,5311278,7628548
2021-12-01,ROU,968283,5314426,7817215
2022-01-01,ROU,342329,,8110579
2022-02-01,ROU,126559,,8110998
2022-03-01,ROU,71540,,8111417
2022-04-01,ROU,77838,,8111836
2022-05-01,ROU,75963,,8112255
2022-06-01,ROU,43415,,8112674
2022-07-01,ROU,50342,,8113093
2022-08-01,ROU,59128,,8113512
2022-09-01,ROU,31935,,8113931
2022-10-01,ROU,42248,,8114350
2022-11-01,ROU,43867,,8114769
2022-12-01,ROU,37413,,8102199
2021-03-01,RUS,5233724,67472564,57873182
2021-04-01,RUS,11842161,67991712,58480065
2021-05-01,RUS,8383169,68029825,58695024
2021-06-01,RUS,11153878,68105369,58798583
2021-07-01,RUS,19946294,68551654,59156207
2021-08-01,RUS,14829030,68774204,59561710
2021-09-01,RUS,8178418,68953540,59977765
2021-10-01,RUS,8941048,69112801,60157863
2021-11-01,RUS,18275444,69738785,60962126
2021-01-01,RUS,4753210,67012949,57037594
2021-02-01,RUS,4268383,67264113,57592114
2021-12-01,RUS,14148508,73727458,66680739
2022-01-01,RUS,5381405,76663085,69967776
2022-07-01,RUS,1290051,82246152,75041866
2022-08-01,RUS,2146865,83876503,76357386
2022-09-01,RUS,2116678,85094650,76879530
2022-10-01,RUS,879006,85406305,77321901
2022-11-01,RUS,1281453,81874223,74750729
2022-12-01,RUS,768951,81110817,74003641
2022-02-01,RUS,3329064,78284278,71601909
2022-03-01,RUS,2059564,80870032,72847646
2022-04-01,RUS,2076392,87295405,78192902
2022-05-01,RUS,882035,85318780,77258038
2022-06-01,RUS,551716,81580140,74311072
2021-06-01,RWA,83842,158898,
2021-07-01,RWA,39555,198453,
2021-08-01,RWA,65394,980082,419715
2021-09-01,RWA,164181,1836045,1368758
2021-10-01,RWA,210884,2928553,1718424
2021-11-01,RWA,221059,4774596,2519852
2021-12-01,RWA,10132,249074,
2021-03-01,RWA,99852,348926,
2021-04-01,RWA,275,349702,
2021-01-01,RWA,25470,2127543,1686978
2021-04-01,KNA,299,11451,
2021-06-01,KNA,5259,22937,18913
2021-07-01,KNA,369,23627,19563
2021-08-01,KNA,626,24146,20604
2021-03-01,LCA,1037,54623,46881
2021-01-01,LCA,785,54450,46607
2021-08-01,LCA,3481,54930,47440
2021-09-01,LCA,7259,47703,35745
2021-10-01,LCA,1656,52389,43331
2021-04-01,LCA,421,,
2021-05-01,LCA,1801,28118,18653
2021-02-01,LCA,706,54548,46797
2021-11-01,LCA,1172,53710,45409
2021-12-01,LCA,1691,55681,49313
2021-06-01,LCA,1319,32583,25275
2021-07-01,LCA,4052,47238,34813
2022-01-01,LCA,478,59602,54309
2022-08-01,LCA,152,59661,54366
2022-09-01,LCA,114,57323,51454
2022-12-01,LCA,134,57418,51596
2022-02-01,LCA,101,57543,51783
2021-04-01,VCT,270,14138,
2021-01-01,VCT,15,14526,
2021-05-01,VCT,1366,19399,12401
2021-08-01,VCT,4258,19064,11884
2021-09-01,VCT,1402,27828,19960
2021-10-01,VCT,5020,26208,17755
2021-12-01,VCT,688,33316,25709
2021-11-01,VCT,1116,30750,22399
2021-02-01,VCT,635,31580,23193
2022-03-01,VCT,368,36033,30123
2022-09-01,VCT,942,35725,29801
2022-10-01,VCT,355,35865,29860
2022-02-01,VCT,68,35207,29118
2022-01-01,VCT,8,35230,29152
2022-08-01,VCT,76,35440,29431
2022-11-01,VCT,30,35873,29874
2022-04-01,VCT,4,36107,30211
2022-07-01,VCT,20,36127,30221
2021-02-01,SMR,305,580,
2021-03-01,SMR,5435,8830,4645
2021-04-01,SMR,5604,19091,8661
2021-05-01,SMR,2242,21580,21354
2021-06-01,SMR,1031,2339,
2021-09-01,SMR,1108,9187,7220
2021-10-01,SMR,1085,9187,7702
2021-11-01,SMR,616,4284,
2021-12-01,SMR,522,4806,
2021-07-01,SMR,1302,21612,21580
2021-08-01,SMR,890,9021,6652
2021-01-01,SMR,1,21581,21354
2021-02-01,SAU,1956296,24248200,21612557
2021-05-01,SAU,4784844,24684104,22620922
2021-08-01,SAU,7520611,24736637,22715883
2021-09-01,SAU,3952530,24751433,22743817
2021-10-01,SAU,3205218,24757408,22755094
2021-11-01,SAU,2541490,24766927,22771497
2021-12-01,SAU,4605659,25017090,23180879
2021-03-01,SAU,3779034,24261265,21648540
2021-01-01,SAU,1354921,24620971,22470514
2021-04-01,SAU,4124782,24665104,22581545
2021-06-01,SAU,3563651,24701843,22654356
2021-07-01,SAU,8085357,24718878,22684981
2022-01-01,SAU,2938311,25583119,23720161
2022-02-01,SAU,2085492,25960748,24199236
2022-03-01,SAU,475286,25624833,23763036
2022-04-01,SAU,369891,25634695,23772644
2022-05-01,SAU,390338,25646719,23785581
2022-06-01,SAU,431049,25665576,23808373
2022-07-01,SAU,281554,25684649,23832585
2022-08-01,SAU,281138,25701282,23851894
2022-09-01,SAU,357702,25717194,23869335
2022-10-01,SAU,382525,25734650,23890532
2022-11-01,SAU,278286,25742662,23901010
2022-12-01,SAU,314910,25752949,23915410
2021-02-01,SEN,45034,288319,
2021-01-01,SEN,24157,413031,
2021-03-01,SEN,125334,299178,
2021-04-01,SEN,61328,416956,
2021-05-01,SEN,14524,431916,
2021-06-01,SEN,15376,421993,
2021-07-01,SEN,9507,587088,236522
2021-08-01,SEN,5657,427377,
2021-09-01,SEN,8575,334236,
2021-10-01,SEN,9174,343222,
2021-11-01,SEN,5886,349108,
2021-12-01,SEN,5585,431468,
2021-01-01,SRB,482143,2028302,1497517
2021-03-01,SRB,522696,3272681,3136806
2021-04-01,SRB,264381,2843970,2710267
2021-05-01,SRB,335261,2847534,2714591
2021-02-01,SRB,253270,3163952,3010468
2021-06-01,SRB,143819,3056975,2925578
2021-07-01,SRB,216881,3280630,3150067
2021-08-01,SRB,351009,3282950,3153923
2021-09-01,SRB,245731,3284917,3157418
2021-10-01,SRB,151100,3153364,3002829
2021-11-01,SRB,191343,3263835,3123638
2021-12-01,SRB,78474,2869322,2748488
2022-01-01,SRB,11761,3344161,3263979
2022-03-01,SRB,5057,3347209,3269374
2022-02-01,SRB,5462,3353072,3277059
2022-10-01,SRB,5303,3345631,3266852
2022-05-01,SRB,993,3352714,3276619
2021-01-01,SYC,17622,30861,
2021-02-01,SYC,8016,43461,21599
2021-03-01,SYC,2859,63132,33391
2021-09-01,SYC,2729,37723,6700
2021-10-01,SYC,4953,81101,76283
2021-11-01,SYC,4531,61070,27036
2021-04-01,SYC,2153,67680,59160
2021-03-01,SLE,6053,31889,
2021-04-01,SLE,1928,42566,1781
2020-12-01,SGP,52,582,46
2021-01-01,SGP,525262,4820304,4639934
2021-02-01,SGP,608669,4821306,4641604
2021-03-01,SGP,1083619,4822359,4643690
2021-04-01,SGP,1147119,4823167,4645992
2021-05-01,SGP,1243070,4823770,4647258
2021-06-01,SGP,1296129,4824660,4649114
2021-07-01,SGP,1618760,4825504,4650985
2021-08-01,SGP,858423,4826372,4652735
2021-09-01,SGP,777207,4827171,4654302
2021-10-01,SGP,871087,4827783,4656049
2021-11-01,SGP,799229,4828413,4658146
2021-12-01,SGP,966061,4859718,4684521
2022-01-01,SGP,721764,5135079,5090410
2022-02-01,SGP,455523,5135115,5090465
2022-03-01,SGP,290843,5135183,5090569
2022-04-01,SGP,237445,5135234,5090671
2022-05-01,SGP,236361,5135308,5090788
2022-06-01,SGP,165485,5135388,5090922
2022-07-01,SGP,162625,5135564,5091167
2022-08-01,SGP,155434,5135648,5091329
2022-09-01,SGP,135743,5135677,5091398
2022-10-01,SGP,133302,5137637,5093804
2022-11-01,SGP,118285,5135798,5091617
2022-12-01,SGP,119505,5135896,5091742
2020-12-01,SVN,5291,11490,
2021-01-01,SVN,134949,1232770,1149958
2021-02-01,SVN,149421,1233841,1152796
2021-03-01,SVN,212255,1234838,1155451
2021-04-01,SVN,266189,1235090,1155976
2021-05-01,SVN,371021,1235167,1156120
2021-06-01,SVN,251169,1235791,1158014
2021-07-01,SVN,208580,1236477,1160011
2021-08-01,SVN,189734,1237181,1162310
2021-09-01,SVN,269173,1237944,1165172
2021-10-01,SVN,163980,1238522,1167990
2021-11-01,SVN,274917,1238662,1168522
2021-12-01,SVN,249969,1250439,1188990
2022-01-01,SVN,89079,1265796,1222206
2022-02-01,SVN,21228,1265583,1221779
2022-03-01,SVN,21489,1265589,1221803
2022-04-01,SVN,18634,1265589,1221803
2022-05-01,SVN,14774,1265802,1222225
2022-06-01,SVN,15412,1265789,1222187
2022-07-01,SVN,14180,1265609,1221828
2022-08-01,SVN,2791,1265622,1221848
2022-09-01,SVN,4634,1265652,1221887
2022-10-01,SVN,11629,1265658,1221897
